Date,Time,Word,Subject,Age_utterance,Age_current,gender
6/11/14,21:21,Book,animaletc,10mOrBefore,13plusy,male
6/11/14,21:22,Cat,animaletc,10mOrBefore,13plusy,male
6/11/14,21:27,Adindaa,action,10mOrBefore,7to12y,male
6/11/14,21:31,Bird,animaletc,10mOrBefore,7to12y,male
6/11/14,21:36,Baba ,animaletc,10mOrBefore,0to3y,female
6/11/14,21:39,More ,action,12m,0to3y,male
6/11/14,21:44,No This,other,14mOrLater,4to6y,male
6/11/14,21:44,Auto,animaletc,10mOrBefore,4to6y,male
6/11/14,21:42,Bubba ,animaletc,10mOrBefore,0to3y,male
6/11/14,21:46,Cheese,animaletc,14mOrLater,13plusy,male
6/11/14,21:45,More,animaletc,12m,0to3y,female
6/11/14,21:47,Book,animaletc,11m,4to6y,female
6/11/14,21:51,Up,action,10mOrBefore,4to6y,female
6/11/14,21:53,Hi,other,10mOrBefore,0to3y,male
6/11/14,21:52,Bird,,10mOrBefore,0to3y,female
6/11/14,22:02,Turtle,animaletc,14mOrLater,7to12y,male
6/11/14,22:10,Light,animaletc,10mOrBefore,13plusy,male
6/11/14,22:15,__‹Û___ç,animaletc,10mOrBefore,0to3y,female
6/11/14,22:16,Mum Mum,animaletc,10mOrBefore,4to6y,female
6/11/14,22:23,Hi,other,13m,0to3y,female
6/11/14,22:30,Ball,animaletc,10mOrBefore,4to6y,male
6/11/14,22:34,Bus,animaletc,14mOrLater,0to3y,male
6/11/14,20:05,Duck,animaletc,10mOrBefore,7to12y,male
6/11/14,22:44,Hi,other,10mOrBefore,0to3y,male
6/11/14,22:47,Car,animaletc,13m,0to3y,male
6/11/14,23:00,Car,animaletc,14mOrLater,4to6y,male
6/11/14,23:00,Go,animaletc,10mOrBefore,4to6y,female
6/11/14,23:06,Mama,person,10mOrBefore,7to12y,male
6/11/14,16:32,Doodhoo,animaletc,14mOrLater,4to6y,male
6/11/14,23:27,Nahana,action,10mOrBefore,4to6y,male
6/11/14,23:41,Ball,animaletc,12m,0to3y,male
6/12/14,0:26,All Done,action,10mOrBefore,0to3y,male
6/12/14,0:57,Leche,action,11m,0to3y,male
6/12/14,1:14,No ,animaletc,11m,4to6y,male
6/12/14,1:15,Noo Noo,animaletc,13m,0to3y,female
6/12/14,1:24,Touchdown ,,10mOrBefore,7to12y,male
6/12/14,12:34,Duck,animaletc,11m,4to6y,male
6/12/14,4:23,Map,animaletc,12m,0to3y,female
6/12/14,10:00,Dada,person,10mOrBefore,4to6y,female
6/12/14,7:04,Dog,animaletc,10mOrBefore,0to3y,male
6/12/14,19:42,Tha Tha,person,10mOrBefore,7to12y,female
6/12/14,7:13,Uh-Oh,animaletc,12m,0to3y,female
6/12/14,7:19,Duck,animaletc,11m,4to6y,female
6/12/14,7:20,Kitty Cat,animaletc,11m,0to3y,male
6/12/14,7:33,Ball,animaletc,dontremember,0to3y,male
6/12/14,7:38,Dada,person,10mOrBefore,4to6y,female
6/12/14,8:03,Shoe,animaletc,14mOrLater,0to3y,male
6/12/14,8:08,Light,animaletc,10mOrBefore,13plusy,female
6/12/14,8:10,Isla,person,10mOrBefore,4to6y,male
6/12/14,8:31,Tata,animaletc,10mOrBefore,4to6y,female
6/12/14,8:41,Bow,animaletc,11m,0to3y,male
6/12/14,8:47,Hi,action,10mOrBefore,0to3y,male
